group,variable,path
B01001,001E,estimate.total
B01001,002E,estimate.total.male
B01001,003E,estimate.total.male.under_5_years
B01001,004E,estimate.total.male.5_to_9_years
B01001,005E,estimate.total.male.10_to_14_years
B01001,006E,estimate.total.male.15_to_17_years
B01001,007E,estimate.total.male.18_and_19_years
B01001,008E,estimate.total.male.20_years
B01001,009E,estimate.total.male.21_years
B01001,010E,estimate.total.male.22_to_24_years
B01001,011E,estimate.total.male.25_to_29_years
B01001,012E,estimate.total.male.30_to_34_years
B01001,013E,estimate.total.male.35_to_39_years
B01001,014E,estimate.total.male.40_to_44_years
B01001,015E,estimate.total.male.45_to_49_years
B01001,016E,estimate.total.male.50_to_54_years
B01001,017E,estimate.total.male.55_to_59_years
B01001,018E,estimate.total.male.60_and_61_years
B01001,019E,estimate.total.male.62_to_64_years
B01001,020E,estimate.total.male.65_and_66_years
B01001,021E,estimate.total.male.67_to_69_years
B01001,022E,estimate.total.male.70_to_74_years
B01001,023E,estimate.total.male.75_to_79_years
B01001,024E,estimate.total.male.80_to_84_years
B01001,025E,estimate.total.male.85_years_and_over
B01001,026E,estimate.total.female
B01001,027E,estimate.total.female.under_5_years
B01001,028E,estimate.total.female.5_to_9_years
B01001,029E,estimate.total.female.10_to_14_years
B01001,030E,estimate.total.female.15_to_17_years
B01001,031E,estimate.total.female.18_and_19_years
B01001,032E,estimate.total.female.20_years
B01001,033E,estimate.total.female.21_years
B01001,034E,estimate.total.female.22_to_24_years
B01001,035E,estimate.total.female.25_to_29_years
B01001,036E,estimate.total.female.30_to_34_years
B01001,037E,estimate.total.female.35_to_39_years
B01001,038E,estimate.total.female.40_to_44_years
B01001,039E,estimate.total.female.45_to_49_years
B01001,040E,estimate.total.female.50_to_54_years
B01001,041E,estimate.total.female.55_to_59_years
B01001,042E,estimate.total.female.60_and_61_years
B01001,043E,estimate.total.female.62_to_64_years
B01001,044E,estimate.total.female.65_and_66_years
B01001,045E,estimate.total.female.67_to_69_years
B01001,046E,estimate.total.female.70_to_74_years
B01001,047E,estimate.total.female.75_to_79_years
B01001,048E,estimate.total.female.80_to_84_years
B01001,049E,estimate.total.female.85_years_and_over
B01001A,001E,estimate.total
B01001A,002E,estimate.total.male
B01001A,003E,estimate.total.male.under_5_years
B01001A,004E,estimate.total.male.5_to_9_years
B01001A,005E,estimate.total.male.10_to_14_years
B01001A,006E,estimate.total.male.15_to_17_years
B01001A,007E,estimate.total.male.18_and_19_years
B01001A,008E,estimate.total.male.20_to_24_years
B01001A,009E,estimate.total.male.25_to_29_years
B01001A,010E,estimate.total.male.30_to_34_years
B01001A,011E,estimate.total.male.35_to_44_years
B01001A,012E,estimate.total.male.45_to_54_years
B01001A,013E,estimate.total.male.55_to_64_years
B01001A,014E,estimate.total.male.65_to_74_years
B01001A,015E,estimate.total.male.75_to_84_years
B01001A,016E,estimate.total.male.85_years_and_over
B01001A,017E,estimate.total.female
B01001A,018E,estimate.total.female.under_5_years
B01001A,019E,estimate.total.female.5_to_9_years
B01001A,020E,estimate.total.female.10_to_14_years
B01001A,021E,estimate.total.female.15_to_17_years
B01001A,022E,estimate.total.female.18_and_19_years
B01001A,023E,estimate.total.female.20_to_24_years
B01001A,024E,estimate.total.female.25_to_29_years
B01001A,025E,estimate.total.female.30_to_34_years
B01001A,026E,estimate.total.female.35_to_44_years
B01001A,027E,estimate.total.female.45_to_54_years
B01001A,028E,estimate.total.female.55_to_64_years
B01001A,029E,estimate.total.female.65_to_74_years
B01001A,030E,estimate.total.female.75_to_84_years
B01001A,031E,estimate.total.female.85_years_and_over
B01001B,001E,estimate.total
B01001B,002E,estimate.total.male
B01001B,003E,estimate.total.male.under_5_years
B01001B,004E,estimate.total.male.5_to_9_years
B01001B,005E,estimate.total.male.10_to_14_years
B01001B,006E,estimate.total.male.15_to_17_years
B01001B,007E,estimate.total.male.18_and_19_years
B01001B,008E,estimate.total.male.20_to_24_years
B01001B,009E,estimate.total.male.25_to_29_years
B01001B,010E,estimate.total.male.30_to_34_years
B01001B,011E,estimate.total.male.35_to_44_years
B01001B,012E,estimate.total.male.45_to_54_years
B01001B,013E,estimate.total.male.55_to_64_years
B01001B,014E,estimate.total.male.65_to_74_years
B01001B,015E,estimate.total.male.75_to_84_years
B01001B,016E,estimate.total.male.85_years_and_over
B01001B,017E,estimate.total.female
B01001B,018E,estimate.total.female.under_5_years
B01001B,019E,estimate.total.female.5_to_9_years
B01001B,020E,estimate.total.female.10_to_14_years
B01001B,021E,estimate.total.female.15_to_17_years
B01001B,022E,estimate.total.female.18_and_19_years
B01001B,023E,estimate.total.female.20_to_24_years
B01001B,024E,estimate.total.female.25_to_29_years
B01001B,025E,estimate.total.female.30_to_34_years
B01001B,026E,estimate.total.female.35_to_44_years
B01001B,027E,estimate.total.female.45_to_54_years
B01001B,028E,estimate.total.female.55_to_64_years
B01001B,029E,estimate.total.female.65_to_74_years
B01001B,030E,estimate.total.female.75_to_84_years
B01001B,031E,estimate.total.female.85_years_and_over
B01001C,001E,estimate.total
B01001C,002E,estimate.total.male
B01001C,003E,estimate.total.male.under_5_years
B01001C,004E,estimate.total.male.5_to_9_years
B01001C,005E,estimate.total.male.10_to_14_years
B01001C,006E,estimate.total.male.15_to_17_years
B01001C,007E,estimate.total.male.18_and_19_years
B01001C,008E,estimate.total.male.20_to_24_years
B01001C,009E,estimate.total.male.25_to_29_years
B01001C,010E,estimate.total.male.30_to_34_years
B01001C,011E,estimate.total.male.35_to_44_years
B01001C,012E,estimate.total.male.45_to_54_years
B01001C,013E,estimate.total.male.55_to_64_years
B01001C,014E,estimate.total.male.65_to_74_years
B01001C,015E,estimate.total.male.75_to_84_years
B01001C,016E,estimate.total.male.85_years_and_over
B01001C,017E,estimate.total.female
B01001C,018E,estimate.total.female.under_5_years
B01001C,019E,estimate.total.female.5_to_9_years
